Silverhill,Town,Baldwin,Alabama
Sims Chapel,Census-Designated Place,Washington,Alabama
Sipsey,Town,Walker,Alabama
Skyline,Town,Jackson,Alabama
Slocomb,City,Geneva,Alabama
Smiths Station,City,Lee,Alabama
Smoke Rise,Census-Designated Place,Blount,Alabama
Snead,Town,Blount,Alabama
Somerville,Town,Morgan,Alabama
South Vinemont,Town,Cullman,Alabama
Southside,City,"5,465",Alabama
Spanish Fort,City,Baldwin,Alabama
Spring Garden,Census-Designated Place,Cherokee,Alabama
Springville,City,St. Clair,Alabama
Spruce Pine,Census-Designated Place,Franklin,Alabama
St. Florian,Town,Lauderdale,Alabama
St. Stephens,Census-Designated Place,Washington,Alabama
Standing Rock,Census-Designated Place,Chambers,Alabama
Steele,Town,St. Clair,Alabama
Sterrett,Census-Designated Place,Shelby,Alabama
Stevenson,City,Jackson,Alabama
Stewartville,Census-Designated Place,Coosa,Alabama
Sulligent,City,Lamar,Alabama
Sumiton,City,"2,634",Alabama
Summerdale,Town,Baldwin,Alabama
Susan Moore,Town,Blount,Alabama
Sweet Water,Town,Marengo,Alabama
Sylacauga,City,Talladega,Alabama
Sylvan Springs,Town,Jefferson,Alabama
Sylvania,Town,DeKalb,Alabama
Talladega,City,Talladega,Alabama
Talladega Springs,Town,Talladega,Alabama
Tallassee,City,"5,622",Alabama
Tarrant,City,Jefferson,Alabama
Taylor,Town,"1,315",Alabama
Theodore,Census-Designated Place,Mobile,Alabama
Thomaston,Town,Marengo,Alabama
Thomasville,City,Clarke,Alabama
Thorsby,Town,Chilton,Alabama
Tibbie,Census-Designated Place,Washington,Alabama
Tidmore Bend,Census-Designated Place,Etowah,Alabama
Tillmans Corner,Census-Designated Place,Mobile,Alabama
Town Creek,Town,Lawrence,Alabama
Toxey,Town,Choctaw,Alabama
Trafford,Town,Jefferson,Alabama
Triana,Town,Madison,Alabama
Trinity,Town,Morgan,Alabama
Troy,City,Pike,Alabama
Trussville,City,...,Alabama
Tuscaloosa,City,Tuscaloosa,Alabama
Tuscumbia,City,Colbert,Alabama
Tuskegee,City,Macon,Alabama
Twin,Town,Marion,Alabama
Underwood-Petersville,Census-Designated Place,Lauderdale,Alabama
Union,Town,Greene,Alabama
Union Grove,Town,Marshall,Alabama
Union Springs,City,Bullock,Alabama
Uniontown,Town,Perry,Alabama
Uriah,Census-Designated Place,Monroe,Alabama
Valley,City,Chambers,Alabama
Valley Grande,City,Dallas,Alabama
Valley Head,Town,DeKalb,Alabama
Vance,Town,...,Alabama
Vandiver,Census-Designated Place,Shelby,Alabama
Vernon,City,Lamar,Alabama
Vestavia Hills,City,...,Alabama
Vina,Town,Franklin,Alabama
Vincent,Town,...,Alabama
Vinegar Bend,Census-Designated Place,Washington,Alabama
Vredenburgh,Town,Monroe,Alabama
Wadley,Town,Randolph,Alabama
Waldo,Town,Talladega,Alabama
Walnut Grove,Town,Etowah,Alabama
Warrior,City,"3,357",Alabama
Waterloo,Town,Lauderdale,Alabama
Waverly,Town,154,Alabama
Weaver,City,Calhoun,Alabama
Webb,Town,Houston,Alabama
Wedowee,Town,Randolph,Alabama
Weogufka,Census-Designated Place,Coosa,Alabama
West Blocton,Town,Bibb,Alabama
West End-Cobb Town,Census-Designated Place,Calhoun,Alabama
West Jefferson,Town,Jefferson,Alabama
West Point,Town,Cullman,Alabama
Westover,Town,Shelby,Alabama
Wetumpka,City,Elmore,Alabama
Whatley,Census-Designated Place,Clarke,Alabama
White Hall,Town,Lowndes,Alabama
White Plains,Census-Designated Place,Calhoun,Alabama
Whitesboro,Census-Designated Place,Etowah,Alabama
Wilsonville,Town,Shelby,Alabama
Wilton,Town,Shelby,Alabama
Winfield,City,"4,189",Alabama
Woodland,Town,Randolph,Alabama
Woodstock,Town,Bibb,Alabama
Woodville,Town,Jackson,Alabama
Yellow Bluff,Town,Wilcox,Alabama
York,City,Sumter,Alabama
,,,Alaska
Adak,City,Aleutians West,Alaska
Akhiok,City,Kodiak Island,Alaska
Akiachak,Census-Designated Place,Bethel,Alaska
Akiak,City,Bethel,Alaska
Akutan,City,Aleutians East,Alaska
Alakanuk,City,Wade Hampton,Alaska
Alatna,Census-Designated Place,Yukon-Koyukuk,Alaska
Alcan Border,Census-Designated Place,Southeast Fairbanks,Alaska
Aleknagik,City,Dillingham,Alaska
Aleneva,Census-Designated Place,Kodiak Island,Alaska
Allakaket,City,Yukon-Koyukuk,Alaska
Ambler,City,Northwest Arctic,Alaska
Anaktuvuk Pass,City,North Slope,Alaska
Anchor Point,Census-Designated Place,Kenai Peninsula,Alaska
Anchorage,Municipality,Anchorage,Alaska
Anderson,City,Denali,Alaska
Angoon,City,Skagway-Hoonah-Angoon,Alaska
Aniak,City,Bethel,Alaska
Anvik,City,Yukon-Koyukuk,Alaska
Arctic Village,Census-Designated Place,Yukon-Koyukuk,Alaska
Atka,City,Aleutians West,Alaska
Atmautluak,Census-Designated Place,Bethel,Alaska
Atqasuk,City,North Slope,Alaska
Attu Station,Census-Designated Place,Aleutians West,Alaska
Badger,Census-Designated Place,Fairbanks North Star,Alaska
Barrow,City,North Slope,Alaska
Bear Creek,Census-Designated Place,Kenai Peninsula,Alaska
Beaver,Census-Designated Place,Yukon-Koyukuk,Alaska
Beluga,Census-Designated Place,Kenai Peninsula,Alaska
Bethel,City,Bethel,Alaska
Bettles,City,Yukon-Koyukuk,Alaska
Big Delta,Census-Designated Place,Southeast Fairbanks,Alaska
Big Lake,Census-Designated Place,Matanuska-Susitna,Alaska
Birch Creek,Census-Designated Place,Yukon-Koyukuk,Alaska
Brevig Mission,City,Nome,Alaska
Buckland,City,Northwest Arctic,Alaska
Buffalo Soapstone,Census-Designated Place,Matanuska-Susitna,Alaska
Butte,Census-Designated Place,Matanuska-Susitna,Alaska
Cantwell,Census-Designated Place,Denali,Alaska
Central,Census-Designated Place,Yukon-Koyukuk,Alaska
Chalkyitsik,Census-Designated Place,Yukon-Koyukuk,Alaska
Chase,Census-Designated Place,Matanuska-Susitna,Alaska
Chefornak,City,Bethel,Alaska
Chena Ridge,Census-Designated Place,Fairbanks North Star,Alaska
Chenega,Census-Designated Place,Valdez-Cordova,Alaska
Chevak,City,Wade Hampton,Alaska
Chickaloon,Census-Designated Place,Matanuska-Susitna,Alaska
Chicken,Census-Designated Place,Southeast Fairbanks,Alaska
Chignik,City,Lake and Peninsula,Alaska
Chignik Lagoon,Census-Designated Place,Lake and Peninsula,Alaska
Chignik Lake,Census-Designated Place,Lake and Peninsula,Alaska
Chiniak,Census-Designated Place,Kodiak Island,Alaska
Chisana,Census-Designated Place,Valdez-Cordova,Alaska
Chistochina,Census-Designated Place,Valdez-Cordova,Alaska
Chitina,Census-Designated Place,Valdez-Cordova,Alaska
Chuathbaluk,City,Bethel,Alaska
Circle,Census-Designated Place,Yukon-Koyukuk,Alaska
Clam Gulch,Census-Designated Place,Kenai Peninsula,Alaska
Clark's Point,City,Dillingham,Alaska
Coffman Cove,City,Prince of Wales-Outer Ketchikan,Alaska
Cohoe,Census-Designated Place,Kenai Peninsula,Alaska
Cold Bay,City,Aleutians East,Alaska
Coldfoot,Census-Designated Place,Yukon-Koyukuk,Alaska
College,Census-Designated Place,Fairbanks North Star,Alaska
Cooper Landing,Census-Designated Place,Kenai Peninsula,Alaska
Copper Center,Census-Designated Place,Valdez-Cordova,Alaska
Cordova,City,Valdez-Cordova,Alaska
Covenant Life,Census-Designated Place,Haines,Alaska
Craig,City,Prince of Wales-Outer Ketchikan,Alaska
Crooked Creek,Census-Designated Place,Bethel,Alaska
Crown Point,Census-Designated Place,Kenai Peninsula,Alaska
Deering,City,Northwest Arctic,Alaska
Delta Junction,City,Southeast Fairbanks,Alaska
Deltana,Census-Designated Place,Southeast Fairbanks,Alaska
Diamond Ridge,Census-Designated Place,Kenai Peninsula,Alaska
Dillingham,City,Dillingham,Alaska
Diomede,City,Nome,Alaska
Dot Lake,Census-Designated Place,Southeast Fairbanks,Alaska
Dot Lake Village,Census-Designated Place,Southeast Fairbanks,Alaska
